Folder,Testability
C:\Users\Lenovo\Desktop\cfg_test\100_jgaap,0.832
C:\Users\Lenovo\Desktop\cfg_test\101_netweaver,0.8622
C:\Users\Lenovo\Desktop\cfg_test\103_sweethome3d,0.8686
C:\Users\Lenovo\Desktop\cfg_test\106_checkstyle,0.9667
C:\Users\Lenovo\Desktop\cfg_test\109_pdfsam,0.8365
C:\Users\Lenovo\Desktop\cfg_test\10_water-simulator,0.8984
C:\Users\Lenovo\Desktop\cfg_test\110_firebird,0.8136
C:\Users\Lenovo\Desktop\cfg_test\11_imsmart,0.7789
C:\Users\Lenovo\Desktop\cfg_test\12_dsachat,0.8987
C:\Users\Lenovo\Desktop\cfg_test\13_jdbacl,0.8913
C:\Users\Lenovo\Desktop\cfg_test\14_omjstate,0.4911
C:\Users\Lenovo\Desktop\cfg_test\15_beanbin,0.8162
C:\Users\Lenovo\Desktop\cfg_test\16_templatedetails,0.9731
C:\Users\Lenovo\Desktop\cfg_test\17_inspirento,0.8332
C:\Users\Lenovo\Desktop\cfg_test\20_nekomud,0.8085
C:\Users\Lenovo\Desktop\cfg_test\1_tullibee,0.7977
C:\Users\Lenovo\Desktop\cfg_test\21_geo-google,0.942
C:\Users\Lenovo\Desktop\cfg_test\23_jwbf,0.8046
C:\Users\Lenovo\Desktop\cfg_test\24_saxpath,0.6717
C:\Users\Lenovo\Desktop\cfg_test\2_a4j,0.9079
C:\Users\Lenovo\Desktop\cfg_test\36_schemaspy,0.8851
C:\Users\Lenovo\Desktop\cfg_test\37_petsoar,0.7532 
C:\Users\Lenovo\Desktop\cfg_test\38_javabullboard,0.9391
C:\Users\Lenovo\Desktop\cfg_test\39_diffi,0.8825
C:\Users\Lenovo\Desktop\cfg_test\3_gaj,0.7539
C:\Users\Lenovo\Desktop\cfg_test\1brc-main,0.8998
C:\Users\Lenovo\Desktop\cfg_test\40_glengineer,0.689
C:\Users\Lenovo\Desktop\cfg_test\42_asphodel,0.6516
C:\Users\Lenovo\Desktop\cfg_test\41_follow,0.8223
C:\Users\Lenovo\Desktop\cfg_test\45_lotus,0.804
C:\Users\Lenovo\Desktop\cfg_test\46_nutzenportfolio,0.9796
C:\Users\Lenovo\Desktop\cfg_test\43_lilith,0.827
C:\Users\Lenovo\Desktop\cfg_test\48_resources4j,0.4182
C:\Users\Lenovo\Desktop\cfg_test\49_diebierse,0.7647
C:\Users\Lenovo\Desktop\cfg_test\4_rif,0.8758
C:\Users\Lenovo\Desktop\cfg_test\50_biff,1.0
C:\Users\Lenovo\Desktop\cfg_test\51_jiprof,0.8568
C:\Users\Lenovo\Desktop\cfg_test\52_lagoon,0.9977
C:\Users\Lenovo\Desktop\cfg_test\53_shp2kml,0.8928
C:\Users\Lenovo\Desktop\cfg_test\54_db-everywhere,0.8488
C:\Users\Lenovo\Desktop\cfg_test\55_lavalamp,0.8457
C:\Users\Lenovo\Desktop\cfg_test\56_jhandballmoves,0.8603
C:\Users\Lenovo\Desktop\cfg_test\47_dvd-homevideo,0.7857
C:\Users\Lenovo\Desktop\cfg_test\58_fps370,0.9835
C:\Users\Lenovo\Desktop\cfg_test\57_hft-bomberman,0.8698
C:\Users\Lenovo\Desktop\cfg_test\59_mygrid,0.8929
C:\Users\Lenovo\Desktop\cfg_test\5_templateit,0.849
C:\Users\Lenovo\Desktop\cfg_test\60_sugar,0.7378
C:\Users\Lenovo\Desktop\cfg_test\63_objectexplorer,0.8313
C:\Users\Lenovo\Desktop\cfg_test\64_jtailgui,0.8288
C:\Users\Lenovo\Desktop\cfg_test\65_gsftp,0.8166
C:\Users\Lenovo\Desktop\cfg_test\67_gae-app-manager,0.904
C:\Users\Lenovo\Desktop\cfg_test\62_dom4j,0.84
C:\Users\Lenovo\Desktop\cfg_test\68_biblestudy,0.9139
C:\Users\Lenovo\Desktop\cfg_test\6_jnfe,0.9799
C:\Users\Lenovo\Desktop\cfg_test\22_byuic,0.8938
C:\Users\Lenovo\Desktop\cfg_test\71_ext4j,0.9073
C:\Users\Lenovo\Desktop\cfg_test\72_battlecry,0.9096
C:\Users\Lenovo\Desktop\cfg_test\69_lhamacaw,0.8647
C:\Users\Lenovo\Desktop\cfg_test\74_fixsuite,0.8368
C:\Users\Lenovo\Desktop\cfg_test\70_echodep,0.9101
C:\Users\Lenovo\Desktop\cfg_test\76_dash-framework,0.6508
C:\Users\Lenovo\Desktop\cfg_test\77_io-project,0.7801
C:\Users\Lenovo\Desktop\cfg_test\73_fim1,0.8818
C:\Users\Lenovo\Desktop\cfg_test\7_sfmis,0.8662
C:\Users\Lenovo\Desktop\cfg_test\75_openhre,0.6827
C:\Users\Lenovo\Desktop\cfg_test\79_twfbplayer,0.8022
C:\Users\Lenovo\Desktop\cfg_test\82_ipcalculator,0.8308
C:\Users\Lenovo\Desktop\cfg_test\80_wheelwebtool,0.8464
C:\Users\Lenovo\Desktop\cfg_test\83_xbus,0.8501
